0,5314,1787,1993-07-05,96396,12,8033.0,B
1,5316,1801,1993-07-11,165960,36,4610.0,A
2,6863,9188,1993-07-28,127080,60,2118.0,A
3,5325,1843,1993-08-03,105804,36,2939.0,A
4,7240,11013,1993-09-06,274740,60,4579.0,A
5,6687,8261,1993-09-13,87840,24,3660.0,A
6,7284,11265,1993-09-15,52788,12,4399.0,A
7,6111,5428,1993-09-24,174744,24,7281.0,B
8,7235,10973,1993-10-13,154416,48,3217.0,A
9,5997,4894,1993-11-04,117024,24,4876.0,A
10,7121,10364,1993-11-10,21924,36,609.0,A
11,6077,5270,1993-11-22,79608,24,3317.0,A
12,6228,6034,1993-12-01,464520,60,7742.0,B
13,6356,6701,1993-12-08,95400,36,2650.0,A
14,5523,2705,1993-12-08,93888,36,2608.0,A
15,6456,7123,1993-12-09,47016,12,3918.0,A
16,7104,10320,1993-12-13,259740,60,4329.0,A
17,6820,9034,1993-12-16,38148,12,3179.0,A
18,6876,9236,1993-12-21,86616,12,7218.0,A
19,7097,10266,1993-12-23,75624,24,3151.0,B
20,4959,2,1994-01-05,80952,24,3373.0,A
21,6499,7401,1994-01-05,80952,24,3373.0,A
22,5479,2486,1994-01-10,24516,12,2043.0,A
23,5170,1071,1994-01-20,253200,60,4220.0,C
24,6721,8475,1994-01-21,21072,24,878.0,A
25,7259,11111,1994-01-31,108144,36,3004.0,A
26,5285,1603,1994-02-06,78936,12,6578.0,A
27,5189,1166,1994-02-07,149040,48,3105.0,A
28,6650,8073,1994-02-17,49320,12,4110.0,B
29,7226,10940,1994-02-23,197748,36,5493.0,A
30,6087,5313,1994-02-27,300660,60,5011.0,C
31,7262,11135,1994-03-01,182628,36,5073.0,A
32,5519,2694,1994-03-08,91632,12,7636.0,A
33,6577,7753,1994-03-11,51696,24,2154.0,A
34,6509,7445,1994-03-15,55368,24,2307.0,A
35,6520,7485,1994-03-16,91200,24,3800.0,A
36,6699,8330,1994-03-30,7656,24,319.0,A
37,6336,6555,1994-03-31,212400,36,5900.0,A
38,7055,10079,1994-04-06,167100,60,2785.0,C
39,6103,5385,1994-04-07,149340,60,2489.0,C
40,6202,5891,1994-04-18,65184,12,5432.0,A
41,7066,10131,1994-05-02,215388,36,5983.0,B
42,6696,8321,1994-05-09,89040,60,1484.0,C
